1:56.956998,13.132058;56.956890,13.132038;56.956784,13.132036
2:56.952217,13.128599;56.952234,13.128462;56.952264,13.128284
3:56.953464,13.125748;56.953557,13.125567;56.953614,13.125343
4:56.954286,13.130210;56.954379,13.130356;56.954487,13.130459
5:56.955050,13.124860;56.955120,13.124706;56.955178,13.124532
6:56.955425,13.122676;56.955451,13.122599;56.955482,13.122508
7:56.954628,13.129249;56.954587,13.129461;56.954539,13.129690
8:56.955031,13.130604;56.954991,13.130820;56.954960,13.131044
9:56.955908,13.124346;56.955930,13.124164;56.955932,13.123955
10:56.956565,13.123752;56.956606,13.123963;56.956617,13.124133
11:56.956972,13.118282;56.956950,13.118048;56.956911,13.117799
12:56.956554,13.116641;56.956563,13.116406;56.956521,13.116206
13:56.957322,13.112631;56.957270,13.112389;56.957237,13.112109
14:56.957217,13.117182;56.957206,13.117444;56.957201,13.117664
15:56.959014,13.113431;56.959052,13.113168;56.959078,13.112923
16:56.957426,13.120670;56.957378,13.120803;56.957328,13.120965
17:56.957819,13.125512;56.957907,13.125626;56.958030,13.125785
18:56.956466,13.130627;56.956443,13.130823;56.956440,13.131060
